HCMI-CMDC	['Transitional Cell Papillomas and Carcinomas', 'Ductal and Lobular Neoplasms', 'Gliomas', 'Miscellaneous Bone Tumors', 'Lymphoid Leukemias', 'Complex Epithelial Neoplasms', 'Synovial-like Neoplasms', 'Blood Vessel Tumors', 'Osseous and Chondromatous Neoplasms', 'Complex Mixed and Stromal Neoplasms', 'Nevi and Melanomas', 'Adenomas and Adenocarcinomas', 'Malignant Lymphomas, NOS or Diffuse', 'Myomatous Neoplasms', 'Epithelial Neoplasms, NOS', 'Neuroepitheliomatous Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Acinar Cell Neoplasms', 'Fibromatous Neoplasms', 'Squamous Cell Neoplasms', 'Soft Tissue Tumors and Sarcomas, NOS', 'Mature T- and NK-Cell Lymphomas', 'NCI Cancer Model Development for the Human Cancer Model Initiative']
MMRF-COMMPASS	['Plasma Cell Tumors', 'Multiple Myeloma CoMMpass Study']
CDDP_EAGLE-1	['Adenomas and Adenocarcinomas', 'CDDP Integrative Analysis of Lung Adenocarcinoma (Phase 2)']
MP2PRT-WT	['Neoplasms, NOS', 'Molecular Profiling to Predict Response to Treatment - Wilms Tumor']
TCGA-BRCA	['Fibroepithelial Neoplasms', 'Adnexal and Skin Appendage Neoplasms', 'Adenomas and Adenocarcinomas', 'Cystic, Mucinous and Serous Neoplasms', 'Basal Cell Neoplasms', 'Squamous Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'Complex Epithelial Neoplasms', 'Ductal and Lobular Neoplasms', 'Breast Invasive Carcinoma']
TCGA-UCEC	['Not Reported', 'Cystic, Mucinous and Serous Neoplasms', 'Epithelial Neoplasms, NOS', 'Adenomas and Adenocarcinomas', 'Uterine Corpus Endometrial Carcinoma']
CTSP-DLBCL1	['Mature B-Cell Lymphomas', 'CTSP Diffuse Large B-Cell Lymphoma (DLBCL) CALGB 50303']
MATCH-P	['Transitional Cell Papillomas and Carcinomas', 'Complex Mixed and Stromal Neoplasms', 'Mesothelial Neoplasms', 'Ductal and Lobular Neoplasms', 'Nevi and Melanomas', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm P']
MATCH-W	['Adenomas and Adenocarcinomas', 'Ductal and Lobular Neoplasms', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Gliomas', 'Transitional Cell Papillomas and Carcinomas', 'Genomic Characterization CS-MATCH-0007 Arm W']
MATCH-Z1D	['Complex Mixed and Stromal Neoplasms', 'Myomatous Neoplasms', 'Ductal and Lobular Neoplasms', 'Neoplasms, NOS', 'Cystic, Mucinous and Serous Neoplasms', 'Squamous Cell Neoplasms', 'Gliomas', 'Adenomas and Adenocarcinomas', 'Genomic Characterization CS-MATCH-0007 Arm Z1D']
MATCH-Z1A	['Adenomas and Adenocarcinomas', 'Mesothelial Neoplasms', 'Epithelial Neoplasms, NOS', 'Neoplasms, NOS', 'Squamous Cell Neoplasms', 'Transitional Cell Papillomas and Carcinomas', 'Genomic Characterization CS-MATCH-0007 Arm Z1A']
